Country,Color1,Color2,Color3,Color4,Color5,Color6
New Zealand,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(1), np.uint8(33), np.uint8(105))","(np.uint8(200), np.uint8(16), np.uint8(46))","(np.uint8(0), np.uint8(36), np.uint8(125))",,
Oman,"(np.uint8(239), np.uint8(45), np.uint8(41))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(144), np.uint8(37))",,,
Panama,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(219), np.uint8(0), np.uint8(0))","(np.uint8(0), np.uint8(0), np.uint8(171))",,,
Peru,"(np.uint8(217), np.uint8(16), np.uint8(35))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Papua New Guinea,"(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(255), np.uint8(204), np.uint8(0))",,,
Philippines,"(np.uint8(0), np.uint8(56), np.uint8(168))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(206), np.uint8(17), np.uint8(38))",,,
Pakistan,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(12), np.uint8(89), np.uint8(11))",,,,
Poland,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(220), np.uint8(20), np.uint8(60))",,,,
Palestine,"(np.uint8(0), np.uint8(0), np.uint8(0))","(np.uint8(237), np.uint8(46), np.uint8(56))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(150), np.uint8(57))",,
Portugal,"(np.uint8(0), np.uint8(102), np.uint8(0))","(np.uint8(255), np.uint8(0), np.uint8(0))",,,,
Palau,"(np.uint8(74), np.uint8(173), np.uint8(214))","(np.uint8(255), np.uint8(222), np.uint8(0))",,,,
Paraguay,"(np.uint8(213), np.uint8(43), np.uint8(30))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(56), np.uint8(168))",,,
Qatar,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(141), np.uint8(27), np.uint8(61))",,,,
Romania,"(np.uint8(0), np.uint8(49), np.uint8(156))","(np.uint8(255), np.uint8(222), np.uint8(0))","(np.uint8(222), np.uint8(33), np.uint8(16))",,,
Serbia,"(np.uint8(198), np.uint8(54), np.uint8(60))","(np.uint8(12), np.uint8(64), np.uint8(118))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,
Russia,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(57), np.uint8(166))","(np.uint8(213), np.uint8(43), np.uint8(30))",,,
Rwanda,"(np.uint8(0), np.uint8(161), np.uint8(222))","(np.uint8(250), np.uint8(210), np.uint8(1))","(np.uint8(32), np.uint8(96), np.uint8(61))",,,
Saudi Arabia,"(np.uint8(22), np.uint8(93), np.uint8(49))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Solomon Islands,"(np.uint8(0), np.uint8(0), np.uint8(214))","(np.uint8(255), np.uint8(204), np.uint8(0))","(np.uint8(0), np.uint8(96), np.uint8(0))",,,
Seychelles,"(np.uint8(0), np.uint8(61), np.uint8(136))","(np.uint8(252), np.uint8(217), np.uint8(85))","(np.uint8(217), np.uint8(34), np.uint8(35))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(122), np.uint8(57))",
Sudan,"(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(0), np.uint8(154), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(1))",,
